count,timestamp,y,y_target,z,z_target,vy,vy_target,vz,vz_target,roll,roll_target,pitch,yaw,thrust,joy_roll,joy_pitch,joy_throttle,joy_yaw,dt
188,6109326176000,0.07664558540499337,0.1,0.14000000059604645,0.12000000029802323,0.024850357970150803,0.03503165848159138,-0.09591730684041977,-0.06000000089406966,-1.3308921911543368,-0.3616717368212388,-1.344379897877792,89.95875268640151,0.46050532971956765,-0.00803714970713864,0.0,-0.07898934056086471,0.0,0.033044505
189,6109396147000,0.07664559753583126,0.1,0.14000000059604645,0.12000000029802323,0.029002599595543258,0.03503165848159138,-0.03692970797419548,-0.06000000089406966,-1.4801063211739802,-2.5065472751941265,-1.4646339215244075,89.97426695745581,0.42131858658448906,-0.05570105055986948,0.0,-0.15736282683102187,0.0,0.062311829000000006
190,6109430103000,0.07664546297702723,0.1,0.14000000059604645,0.12000000029802323,0.04223245831939426,0.03503165848159138,-0.07206039875745773,-0.06000000089406966,-1.2036587740964517,-0.33609583847148233,-1.409681040842127,89.88959726452448,0.4491131698959066,-0.007468796410477385,0.0,-0.10177366020818679,0.0,0.038154759
191,6109499092000,0.07664558276087059,0.1,0.14000000059604645,0.12000000029802323,-0.0043636944123789,0.03503165848159138,-0.058815427124500275,-0.06000000089406966,-1.1385003422637223,-0.649746002389085,-1.696471691172708,90.04390719345793,0.4378306144132864,-0.014438800053090776,0.0,-0.12433877117342718,0.0,0.053744187000000006
192,6109534097000,0.07664556662402461,0.1,0.12999999523162842,0.12000000029802323,0.018663068410949075,0.03503165848159138,-0.06803138554096222,-0.029999984800815574,-1.1565138089484435,-2.0431113863963306,-1.6781960641325049,90.0575339522495,0.455136956369175,-0.04540247525325179,0.0,-0.08972608726164999,0.0,0.045496847
193,6109570543000,0.07664539723441649,0.1,0.12999999523162842,0.12000000029802323,0.02945424495589144,0.03503165848159138,-0.05629672855138779,-0.029999984800815574,-0.5709457958302373,-0.2123557802557796,-1.6353072295918087,89.86650689485823,0.44742694267636124,-0.0047190173390173245,0.0,-0.10514611464727752,0.0,0.050243993
194,6109639117000,0.07664557643334771,0.1,0.12999999523162842,0.12000000029802323,-0.015159758394420943,0.03503165848159138,-0.08467726409435272,-0.029999984800815574,-0.10879787977693622,-0.9541235284471139,-1.7241198899450905,90.0496977836948,0.4664828014222411,-0.021202745076602532,0.0,-0.06703439715551784,0.0,0.050929974
195,6109674197000,0.07664556010116363,0.1,0.12999999523162842,0.12000000029802323,0.012851491933797218,0.03503165848159138,-0.06692057102918625,-0.029999984800815574,-0.11715483576090031,-1.8884704393064968,-1.6042111967835633,90.06220061746897,0.452885281470656,-0.0419660097623666,0.0,-0.09422943705868803,0.0,0.050247854
196,6109746090000,0.07664556546814537,0.1,0.12999999523162842,0.12000000029802323,-0.012067356322726756,0.03503165848159138,-0.1102110743522644,-0.029999984800815574,-0.71000338810853,0.021466649234345943,-1.324848863067913,89.94161189711002,0.4805310919142004,0.0004770366496521321,0.0,-0.03893781617159919,0.0,0.058714565
197,6109781140000,0.07664557613086334,0.1,0.12999999523162842,0.12000000029802323,-0.02046832265335096,0.03503165848159138,-0.11460107564926147,-0.029999984800815574,-1.0412676500912206,-0.07934324594679508,-1.2399887651428378,90.04995779330375,0.4795388663625283,-0.001763183243262113,0.0,-0.040922267274943414,0.0,0.039956635000000004
198,6109851023000,0.07664537124434423,0.1,0.12999999523162842,0.12000000029802323,0.0023250952627195333,0.03503165848159138,-0.03880365192890167,-0.029999984800815574,-0.5979018654590724,-2.1963674933378083,-1.1940858551482099,90.14158662283324,0.43396778798886115,-0.04880816651861796,0.0,-0.1320644240222777,0.0,0.06414739600000001
199,6109886140000,0.07664560414408406,0.1,0.12999999523162842,0.12000000029802323,0.014468791100995915,0.03503165848159138,-0.01664116233587265,-0.029999984800815574,-0.5523803142434255,-1.6230382275962554,-1.127959994409067,90.00980375380546,0.4286457700417786,-0.03606751616880567,0.0,-0.14270845991644276,0.0,0.046142285000000005
200,6109920099000,0.07664546312097577,0.1,0.12999999523162842,0.12000000029802323,-0.003228559560791482,0.03503165848159138,-0.04509933665394783,-0.029999984800815574,-0.6561087731398952,-0.6569754903715511,-1.1014408408500656,89.88965312383183,0.4526107266775672,-0.014599455341590024,0.0,-0.09477854664486562,0.0,0.059043767000000004
201,6109988741000,0.06706466591308763,0.1,0.12999999523162842,0.12000000029802323,-0.023425329816477783,0.03684389939599031,-0.035900212824344635,-0.029999984800815574,-1.273603990022602,-2.198867496124761,-1.4571653072938797,90.15256770996113,0.4457141937691925,-0.048863722136105806,0.0,-0.10857161246161495,0.0,0.042570423
202,6110023089000,0.06706480628550605,0.1,0.12999999523162842,0.12000000029802323,-0.02758075354789932,0.04001197576134086,-0.04270421341061592,-0.029999984800815574,-1.2733397177709163,-4.160002489850443,-1.6405713300202924,90.09764487442811,0.4510213116928163,-0.09244449977445429,0.0,-0.09795737661436743,0.0,0.038890669
203,6110091050000,0.06706490145669618,0.1,0.12999999523162842,0.12000000029802323,0.03068473938792436,0.04788858670009631,-0.06043434143066406,-0.029999984800815574,-0.45854245007918804,-4.965061839504133,-1.537681625670592,89.98525827720599,0.461029569555961,-0.1103347075445363,0.0,-0.07794086088807795,0.0,0.056919791000000004
204,6110125103000,0.07664559099466368,0.1,0.12999999523162842,0.12000000029802323,0.022103665718030626,0.051982879026352645,-0.06069790944457054,-0.029999984800815574,-0.2672352034909396,-3.1704471043091798,-1.4475060568024556,90.03496453539768,0.45910365381361934,-0.07045438009575955,0.0,-0.08179269237276132,0.0,0.042865076
205,6110195011000,0.06706490221120613,0.1,0.12999999523162842,0.12000000029802323,0.012198402861144642,0.05396088338774995,-0.06390564888715744,-0.029999984800815574,-1.2833871269154091,-2.8071849522381083,-1.4100127791917703,90.01197715872966,0.4603418667371068,-0.06238188782751352,0.0,-0.07931626652578638,0.0,0.065159426
206,6110229930000,0.06706488019169674,0.1,0.12999999523162842,0.12000000029802323,0.005675127626390046,0.05350207016989332,-0.03494270145893097,-0.029999984800815574,-1.9415542831390267,-2.3229877997598147,-1.27310413697675,89.95205055941913,0.44163128580436045,-0.05162195110577366,0.0,-0.1167374283912791,0.0,0.041430632
